,HS578T_BREAST,HCC1937_BREAST,DU4475_BREAST,BT549_BREAST,HCC1143_BREAST,MDAMB436_BREAST,MDAMB157_BREAST,HCC1806_BREAST,HCC1395_BREAST,HMC18_BREAST,MDAMB231_BREAST,MDAMB468_BREAST,CAL51_BREAST,MDAMB453_BREAST
ABRA_137735.,-0.102982058,-0.085158739,-0.406597487,-0.027581116,0.084634192,0.000696842,-0.007570738,-0.118542147,-0.046853035,0.020363,-0.122993446,0.041731439,-0.00474966,-0.128380943
ABRACL_58527.,0.020250756,-0.001859669,0.223862462,-0.009328314,0.110745988,0.059077033,0.052619291,0.079226272,-0.050223111,0.040270211,0.079203526,-0.065626174,0.084910832,0.047050843
ABT1_29777.,-0.3759364,-0.308282525,-0.380082126,-0.381984258,-0.607468529,-0.792999709,-0.377396175,-0.37585788,-0.32066068,-0.720424044,-0.279692623,-0.260516748,-0.561498149,-0.32171686
ABTB1_80325.,0.174676005,0.095498278,0.216880545,0.098108016,0.139896402,-0.045999802,0.048109804,0.065455228,0.123797208,-0.049164227,0.047140965,0.000273948,-0.003799349,0.193645548
ABTB2_25841.,0.068651097,-0.024823343,0.019496042,0.063466587,0.103426407,0.09287625,0.121032234,-0.052283534,0.001641788,0.065606727,0.279416365,0.246528785,0.111658961,-0.039956149
ACAA1_30.,0.109867023,-0.013402416,-0.125194657,0.080347508,0.120926845,0.023879574,0.093926727,-0.07346454,0.066583657,-0.072550787,0.087972762,0.169001893,0.050571254,0.068007611
ACAA2_10449.,0.053664694,-0.209870438,-0.279744214,0.022149834,0.060869346,-0.140343548,-0.024108929,-0.145341233,-0.072320389,-0.00841933,-0.041958514,-0.103902939,-0.092577467,-0.054766443
ACACA_31.,-0.155578429,-0.351331847,-0.0501664,-0.544774367,-0.36365102,-0.265754639,-0.181607369,-0.102281326,-0.261951815,-0.130944088,-0.398020288,-0.59226887,-0.048198917,-0.093757822
ACACB_32.,-0.137169072,-0.060209597,-0.238075736,-0.061217214,0.008636452,-0.052298616,-0.154251834,0.016103903,-0.106296137,0.026886932,-0.173545142,0.057904858,-0.126606161,-0.142735178
ACAD10_80724.,0.174410952,-0.075671606,0.095833717,-0.000969218,0.031327315,0.051598876,-0.000281238,-0.009372541,-0.008082576,-0.018575191,-0.015103227,0.024012697,0.030455435,0.022490051
ACAD11_84129.,0.123011362,0.02243094,0.212307582,0.008121245,0.13681953,0.151012815,0.086774083,0.058073444,-0.038831511,-0.107777721,0.054881952,0.001875263,0.077580288,0.000510838
ACAD8_27034.,0.227445982,0.034480835,0.226467425,0.201496251,0.095808476,0.097399401,0.197344965,0.07867982,0.223130359,0.073366785,0.227563435,0.186784905,0.064103119,0.236740907
ACAD9_28976.,-0.251243389,-0.155185497,-0.095070307,-0.268638978,-0.200952727,-0.097593315,-0.081523589,-0.136557468,-0.178942123,-0.239004771,-0.204776516,-0.172173131,-0.392956208,-0.677355807
ACADL_33.,5.54E-05,-0.18692455,-0.135892325,-0.016604908,-0.064160471,-0.113220059,-0.026676922,-0.195056307,0.013331627,-0.06056745,-0.031260369,-0.199505151,-0.087189714,-0.107677317
ACADM_34.,-0.05532635,-0.022232279,-0.076448114,-0.082009711,-0.126145059,-0.2121981,-0.040163084,-0.08093071,0.104902628,-0.025939628,0.050130381,-0.093749176,-0.02896801,0.029118169
